data_type,timestamp,EEG1,EEG2,EEG3,EEG4
theta_relative,1580237512946897,NaN,NaN,NaN,NaN
isGood,1580237512947166,0.0,0.0,0.0,0.0
quality,1580237512947393,4.0,4.0,4.0,4.0
alpha_absolute,1580237513055295,0.0,0.0,0.0,0.0
beta_absolute,1580237513056495,0.0,0.0,0.0,0.0
theta_absolute,1580237513058663,0.0,0.0,0.0,0.0
alpha_relative,1580237513060143,NaN,NaN,NaN,NaN
beta_relative,1580237513061198,NaN,NaN,NaN,NaN
theta_relative,1580237513062225,NaN,NaN,NaN,NaN
isGood,1580237513063118,0.0,0.0,0.0,0.0
quality,1580237513063877,4.0,4.0,4.0,4.0
alpha_absolute,1580237513159088,0.0,0.0,0.0,0.0
beta_absolute,1580237513162529,0.0,0.0,0.0,0.0
theta_absolute,1580237513163579,0.0,0.0,0.0,0.0
alpha_relative,1580237513164405,NaN,NaN,NaN,NaN
beta_relative,1580237513164991,NaN,NaN,NaN,NaN
theta_relative,1580237513165586,NaN,NaN,NaN,NaN
isGood,1580237513166157,0.0,0.0,0.0,0.0
quality,1580237513166597,4.0,4.0,4.0,4.0
alpha_absolute,1580237513269791,0.0,0.0,0.0,0.0
beta_absolute,1580237513271728,0.0,0.0,0.0,0.0
theta_absolute,1580237513273124,0.0,0.0,0.0,0.0
alpha_relative,1580237513274097,NaN,NaN,NaN,NaN
beta_relative,1580237513274982,NaN,NaN,NaN,NaN
theta_relative,1580237513275821,NaN,NaN,NaN,NaN
isGood,1580237513276721,0.0,0.0,0.0,0.0
quality,1580237513277320,4.0,4.0,4.0,4.0
alpha_absolute,1580237513383630,0.0,0.0,0.0,0.0
beta_absolute,1580237513384517,0.0,0.0,0.0,0.0
theta_absolute,1580237513385283,0.0,0.0,0.0,0.0
alpha_relative,1580237513385961,NaN,NaN,NaN,NaN
beta_relative,1580237513386630,NaN,NaN,NaN,NaN
theta_relative,1580237513387237,NaN,NaN,NaN,NaN
isGood,1580237513387786,0.0,0.0,0.0,0.0
quality,1580237513388181,4.0,4.0,4.0,4.0
alpha_absolute,1580237513476731,0.0,0.0,0.0,0.0
beta_absolute,1580237513477761,0.0,0.0,0.0,0.0
theta_absolute,1580237513479519,0.0,0.0,0.0,0.0
alpha_relative,1580237513481150,NaN,NaN,NaN,NaN
beta_relative,1580237513482211,NaN,NaN,NaN,NaN
theta_relative,1580237513483375,NaN,NaN,NaN,NaN
isGood,1580237513484559,0.0,0.0,0.0,0.0
quality,1580237513485203,4.0,4.0,4.0,4.0
alpha_absolute,1580237513571894,0.0,0.0,0.0,0.0
beta_absolute,1580237513573042,0.0,0.0,0.0,0.0
theta_absolute,1580237513574248,0.0,0.0,0.0,0.0
alpha_relative,1580237513575115,NaN,NaN,NaN,NaN
beta_relative,1580237513575802,NaN,NaN,NaN,NaN
theta_relative,1580237513576521,NaN,NaN,NaN,NaN
isGood,1580237513577315,0.0,0.0,1.0,0.0
quality,1580237513577789,4.0,1.0,1.0,2.0
alpha_absolute,1580237513654053,0.0,0.0,0.0,0.0
beta_absolute,1580237513654723,0.0,0.0,0.0,0.0
theta_absolute,1580237513655184,0.0,0.0,0.0,0.0
alpha_relative,1580237513655620,NaN,NaN,NaN,NaN
beta_relative,1580237513656073,NaN,NaN,NaN,NaN
theta_relative,1580237513656485,NaN,NaN,NaN,NaN
isGood,1580237513656915,0.0,0.0,1.0,0.0
quality,1580237513657142,4.0,1.0,1.0,2.0
alpha_absolute,1580237513779066,0.0,0.0,0.0,0.0
beta_absolute,1580237513780501,0.0,0.0,0.0,0.0
theta_absolute,1580237513781649,0.0,0.0,0.0,0.0
alpha_relative,1580237513782740,NaN,NaN,NaN,NaN
beta_relative,1580237513784762,NaN,NaN,NaN,NaN
theta_relative,1580237513785742,NaN,NaN,NaN,NaN
isGood,1580237513786544,0.0,0.0,1.0,0.0
quality,1580237513787063,4.0,1.0,1.0,2.0
alpha_absolute,1580237513848179,0.0,0.0,-0.4125533780590718,0.0
beta_absolute,1580237513850174,0.0,0.0,-0.26216106035231995,0.0
theta_absolute,1580237513851534,0.0,0.0,-0.16892170513275057,0.0
alpha_relative,1580237513852379,NaN,NaN,0.13279851372141915,NaN
beta_relative,1580237513854309,NaN,NaN,0.1877524151059411,NaN
theta_relative,1580237513855267,NaN,NaN,0.23271527331800246,NaN
isGood,1580237513856121,0.0,0.0,1.0,0.0
quality,1580237513857696,4.0,1.0,1.0,2.0
alpha_absolute,1580237513997711,0.0,0.0,-0.29373166235005466,0.0
beta_absolute,1580237513998921,0.0,0.0,-0.2777571661120908,0.0
theta_absolute,1580237514001963,0.0,0.0,-0.03792071774578194,0.0
alpha_relative,1580237514003528,NaN,NaN,0.13124476557907205,NaN
beta_relative,1580237514005867,NaN,NaN,0.1361621774138827,NaN
theta_relative,1580237514008197,NaN,NaN,0.23653365140403823,NaN
isGood,1580237514010089,0.0,0.0,1.0,0.0
quality,1580237514011033,4.0,1.0,1.0,2.0
alpha_absolute,1580237514094251,0.0,0.0,-0.23636756220456,0.0
beta_absolute,1580237514095398,0.0,0.0,-0.2845338823402443,0.0
theta_absolute,1580237514096350,0.0,0.0,0.02656419105966147,0.0
alpha_relative,1580237514097234,NaN,NaN,0.12565721253053347,NaN
beta_relative,1580237514098010,NaN,NaN,0.11246596171934743,NaN
theta_relative,1580237514098735,NaN,NaN,0.23020734426844414,NaN
isGood,1580237514103223,0.0,0.0,1.0,0.0
quality,1580237514103864,4.0,1.0,1.0,2.0
alpha_absolute,1580237514188662,0.0,0.0,-0.21022136217777157,0.0
beta_absolute,1580237514190141,0.0,0.0,-0.28223836286437165,0.0
theta_absolute,1580237514191277,0.0,0.0,0.041163188394909254,0.0
