timestamp,value
1,200
2,200
3,200
4,200
5,200
6,210
7,220
8,210
9,220
10,230
11,220
12,210
13,200
14,210
15,220
16,210
17,200
18,210
19,220
20,210
21,200
22,200
23,200
24,200
25,200
26,200
27,200
28,200
29,200
30,200
31,200
32,200
33,200
34,200
35,200
36,200
37,200
38,210
39,220
40,210
41,200
42,200
43,200
44,200
45,200
46,200
47,200
48,200
49,200
50,200
51,200
52,200
