data_type,timestamp,EEG1,EEG2,EEG3,EEG4
theta_relative,1592897215881589,NaN,NaN,NaN,NaN
isGood,1592897215882097,0.0,0.0,0.0,0.0
quality,1592897215882258,4.0,4.0,4.0,4.0
alpha_absolute,1592897216004784,0.0,0.0,0.0,0.0
beta_absolute,1592897216006014,0.0,0.0,0.0,0.0
theta_absolute,1592897216007268,0.0,0.0,0.0,0.0
alpha_relative,1592897216008173,NaN,NaN,NaN,NaN
beta_relative,1592897216011427,NaN,NaN,NaN,NaN
theta_relative,1592897216013009,NaN,NaN,NaN,NaN
isGood,1592897216014282,0.0,0.0,0.0,0.0
quality,1592897216015005,4.0,4.0,4.0,4.0
alpha_absolute,1592897216067047,0.0,0.0,0.0,0.0
beta_absolute,1592897216067731,0.0,0.0,0.0,0.0
theta_absolute,1592897216068200,0.0,0.0,0.0,0.0
alpha_relative,1592897216068707,NaN,NaN,NaN,NaN
beta_relative,1592897216069464,NaN,NaN,NaN,NaN
theta_relative,1592897216070212,NaN,NaN,NaN,NaN
isGood,1592897216070971,0.0,0.0,0.0,0.0
quality,1592897216071198,4.0,4.0,4.0,4.0
alpha_absolute,1592897216195147,0.0,0.0,0.0,0.0
beta_absolute,1592897216197783,0.0,0.0,0.0,0.0
theta_absolute,1592897216198981,0.0,0.0,0.0,0.0
alpha_relative,1592897216200947,NaN,NaN,NaN,NaN
beta_relative,1592897216203404,NaN,NaN,NaN,NaN
theta_relative,1592897216205279,NaN,NaN,NaN,NaN
isGood,1592897216206798,0.0,0.0,0.0,0.0
quality,1592897216207308,4.0,4.0,4.0,4.0
alpha_absolute,1592897216306294,0.0,0.0,0.0,0.0
beta_absolute,1592897216307242,0.0,0.0,0.0,0.0
theta_absolute,1592897216307717,0.0,0.0,0.0,0.0
alpha_relative,1592897216308167,NaN,NaN,NaN,NaN
beta_relative,1592897216308972,NaN,NaN,NaN,NaN
theta_relative,1592897216309794,NaN,NaN,NaN,NaN
isGood,1592897216310508,0.0,0.0,0.0,0.0
quality,1592897216310734,4.0,4.0,4.0,4.0
alpha_absolute,1592897216418365,0.0,0.0,0.0,0.0
beta_absolute,1592897216419603,0.0,0.0,0.0,0.0
theta_absolute,1592897216421393,0.0,0.0,0.0,0.0
alpha_relative,1592897216422750,NaN,NaN,NaN,NaN
beta_relative,1592897216424377,NaN,NaN,NaN,NaN
theta_relative,1592897216425748,NaN,NaN,NaN,NaN
isGood,1592897216430055,0.0,0.0,0.0,0.0
quality,1592897216430732,4.0,4.0,4.0,4.0
alpha_absolute,1592897216489203,0.0,0.0,0.0,0.0
beta_absolute,1592897216489840,0.0,0.0,0.0,0.0
theta_absolute,1592897216490331,0.0,0.0,0.0,0.0
alpha_relative,1592897216490832,NaN,NaN,NaN,NaN
beta_relative,1592897216491584,NaN,NaN,NaN,NaN
theta_relative,1592897216492292,NaN,NaN,NaN,NaN
isGood,1592897216493070,0.0,1.0,0.0,0.0
quality,1592897216493306,2.0,1.0,2.0,2.0
alpha_absolute,1592897216625876,0.0,0.0,0.0,0.0
beta_absolute,1592897216627215,0.0,0.0,0.0,0.0
theta_absolute,1592897216628283,0.0,0.0,0.0,0.0
alpha_relative,1592897216629335,NaN,NaN,NaN,NaN
beta_relative,1592897216630556,NaN,NaN,NaN,NaN
theta_relative,1592897216632025,NaN,NaN,NaN,NaN
isGood,1592897216633116,0.0,1.0,0.0,0.0
quality,1592897216633593,2.0,1.0,2.0,2.0
alpha_absolute,1592897216689397,0.0,0.0,0.0,0.0
beta_absolute,1592897216690002,0.0,0.0,0.0,0.0
theta_absolute,1592897216690457,0.0,0.0,0.0,0.0
alpha_relative,1592897216690892,NaN,NaN,NaN,NaN
beta_relative,1592897216691633,NaN,NaN,NaN,NaN
theta_relative,1592897216692397,NaN,NaN,NaN,NaN
isGood,1592897216693220,0.0,1.0,0.0,0.0
quality,1592897216693477,2.0,1.0,2.0,2.0
alpha_absolute,1592897216811563,0.0,0.0,0.0,0.0
beta_absolute,1592897216812869,0.0,0.0,0.0,0.0
theta_absolute,1592897216813922,0.0,0.0,0.0,0.0
alpha_relative,1592897216814815,NaN,NaN,NaN,NaN
beta_relative,1592897216817961,NaN,NaN,NaN,NaN
theta_relative,1592897216819119,NaN,NaN,NaN,NaN
isGood,1592897216820276,0.0,0.0,0.0,0.0
quality,1592897216820832,2.0,1.0,2.0,2.0
alpha_absolute,1592897216932694,0.0,0.0,0.0,0.0
beta_absolute,1592897216933441,0.0,0.0,0.0,0.0
theta_absolute,1592897216933911,0.0,0.0,0.0,0.0
alpha_relative,1592897216934380,NaN,NaN,NaN,NaN
beta_relative,1592897216935154,NaN,NaN,NaN,NaN
theta_relative,1592897216935872,NaN,NaN,NaN,NaN
isGood,1592897216936739,0.0,0.0,0.0,0.0
quality,1592897216936974,2.0,1.0,2.0,2.0
alpha_absolute,1592897217006984,0.0,0.0,0.0,0.0
beta_absolute,1592897217007713,0.0,0.0,0.0,0.0
theta_absolute,1592897217008201,0.0,0.0,0.0,0.0
alpha_relative,1592897217008728,NaN,NaN,NaN,NaN
beta_relative,1592897217009567,NaN,NaN,NaN,NaN
theta_relative,1592897217010344,NaN,NaN,NaN,NaN
isGood,1592897217011158,0.0,0.0,0.0,0.0
quality,1592897217011397,2.0,1.0,2.0,2.0
alpha_absolute,1592897217098207,0.0,0.0,0.0,0.0
beta_absolute,1592897217099472,0.0,0.0,0.0,0.0
theta_absolute,1592897217100307,0.0,0.0,0.0,0.0
alpha_relative,1592897217101272,NaN,NaN,NaN,NaN
beta_relative,1592897217102471,NaN,NaN,NaN,NaN
theta_relative,1592897217103745,NaN,NaN,NaN,NaN
isGood,1592897217104904,0.0,0.0,0.0,0.0
quality,1592897217105408,2.0,1.0,2.0,2.0
alpha_absolute,1592897217250326,0.0,0.0,0.0,0.0
beta_absolute,1592897217251223,0.0,0.0,0.0,0.0
theta_absolute,1592897217251862,0.0,0.0,0.0,0.0
alpha_relative,1592897217252581,NaN,NaN,NaN,NaN
beta_relative,1592897217253440,NaN,NaN,NaN,NaN
theta_relative,1592897217254234,NaN,NaN,NaN,NaN
isGood,1592897217255112,0.0,0.0,0.0,0.0
quality,1592897217255468,2.0,1.0,2.0,2.0
alpha_absolute,1592897217284856,0.0,0.0,0.0,0.0
beta_absolute,1592897217285476,0.0,0.0,0.0,0.0
theta_absolute,1592897217285941,0.0,0.0,0.0,0.0
alpha_relative,1592897217286449,NaN,NaN,NaN,NaN
beta_relative,1592897217287222,NaN,NaN,NaN,NaN
theta_relative,1592897217288037,NaN,NaN,NaN,NaN
isGood,1592897217288864,0.0,0.0,0.0,0.0
quality,1592897217289095,2.0,1.0,2.0,2.0
alpha_absolute,1592897217417479,0.0,0.0,0.0,0.0
beta_absolute,1592897217419020,0.0,0.0,0.0,0.0
theta_absolute,1592897217419998,0.0,0.0,0.0,0.0
alpha_relative,1592897217420904,NaN,NaN,NaN,NaN
beta_relative,1592897217422218,NaN,NaN,NaN,NaN
theta_relative,1592897217423439,NaN,NaN,NaN,NaN
isGood,1592897217424621,0.0,0.0,0.0,0.0
quality,1592897217425090,2.0,1.0,2.0,2.0
alpha_absolute,1592897217548628,0.0,0.0,0.0,0.0
beta_absolute,1592897217549425,0.0,0.0,0.0,0.0
theta_absolute,1592897217549991,0.0,0.0,0.0,0.0
alpha_relative,1592897217550530,NaN,NaN,NaN,NaN
beta_relative,1592897217551457,NaN,NaN,NaN,NaN
theta_relative,1592897217552215,NaN,NaN,NaN,NaN
isGood,1592897217552965,0.0,0.0,0.0,0.0
quality,1592897217553196,2.0,1.0,2.0,2.0
alpha_absolute,1592897217650083,0.0,0.0,0.0,0.0
beta_absolute,1592897217651369,0.0,0.0,0.0,0.0
theta_absolute,1592897217652473,0.0,0.0,0.0,0.0
alpha_relative,1592897217653379,NaN,NaN,NaN,NaN
beta_relative,1592897217654595,NaN,NaN,NaN,NaN
theta_relative,1592897217655860,NaN,NaN,NaN,NaN
isGood,1592897217657253,0.0,0.0,0.0,0.0
quality,1592897217657911,2.0,1.0,2.0,2.0
alpha_absolute,1592897217711601,0.0,0.0,0.0,0.0
beta_absolute,1592897217712278,0.0,0.0,0.0,0.0
theta_absolute,1592897217712753,0.0,0.0,0.0,0.0
