timestamp,value
1,1.304672550456452
2,1.752761950088501
3,2.0525355789708652
4,1.7411376418872824
5,1.765209825160185
6,1.9104480814730642
7,2.277674357888812
8,2.6822341900597806
9,2.6741821571039397
10,1.8147233525746298
11,1.5824625387125142
12,1.3842147352563083
13,1.6382475825898681
14,1.3323756280189287
15,1.278564162969873
16,1.320722333782594
17,1.5059405696763442
18,1.3415396312634522
19,1.4335646610472212
20,1.4182977829353256
21,1.9804342715482979
22,1.5930028158108887
23,1.7333610467860627
24,1.0189039638993638
25,1.102498446385084
26,1.4093300881216975
27,1.4783826450502051
28,1.6812536051731792
29,1.315202612162055
30,1.1747835345450843
31,1.1865360376048233
32,1.3770274296207754
33,1.085134936445631
34,1.330550975834858
35,1.3644410032206349
36,1.1425817084004655
37,1.2279026740657308
38,1.0809994318339835
39,1.2223632440143368
40,1.2568717819840678
41,1.4865190023627954
42,1.2471832024958782
43,1.471772811855621
44,1.4118825417298284
45,1.8057833062725188
46,1.7130965425607068
47,1.7971255495686325
48,1.3872148211254036
49,1.2652141514457589
50,1.3993964879477725
51,1.2473765967901285
52,1.3018865033281164
53,1.2925187157583102
54,1.4210912133700968
55,1.4079744512266068
56,1.5063145304964178
57,1.9578918997524624
58,1.823849136069161
59,1.3400497784426875
60,1.8541732742770403
61,1.359323353389641
62,3.0143386606335785
63,1.911000929250681
64,1.8063910036757485
65,1.4457951785730883
66,1.2839322350366387
67,1.5910582091051422
68,1.2656596435408867
69,1.7197767951847507
70,1.8501790131738964
71,1.8153374641931022
72,1.094748609067641
73,1.271110177925117
74,1.4399989590047504
75,2.1777353858180253
76,2.5283293538461007
77,2.0251876438615835
78,1.8126538533011856
