timestamp,value
1,0.963382470927348
2,0.9171101696518325
3,0.8310136421174208
4,0.987653131614199
5,0.9404795025358375
6,0.8288934919433341
7,0.7625336708048421
8,0.7705193769697928
9,0.796351624785393
10,0.934284905543549
11,1.1026593222245613
12,1.0375514557274392
13,0.9876460041691464
14,0.9979746808301506
15,0.9173970443234079
16,0.9815080151110182
17,0.9972408801303507
18,0.9647927310820139
19,0.9329381284383602
20,0.9306109771749456
21,1.1250196746692904
22,1.0737348234358508
23,1.046540092492108
24,1.3272675440148283
25,1.3148495533283406
26,1.2771832870408915
27,1.3620598565246975
28,1.5165366525695088
29,1.6337032151455815
30,1.4617879551968096
31,1.1725605610149283
32,1.1574937894854938
33,1.1499641861914767
34,1.0540759373027997
35,1.2517793824312302
36,1.1593058071086406
37,1.3089502849276646
38,1.7164590983226287
39,1.7105400800383732
40,1.4765119286097061
41,1.0208439764835453
42,1.2866944524369943
43,1.4113812235132612
44,1.248080701553877
45,1.2692305431745063
46,1.2116786913179847
47,1.4311587879504897
48,1.5194063510920008
49,1.1935203039790299
50,1.3776988040902542
51,1.4293057685322281
52,1.4350664921449083
